x,y,z,surface_code
5893573.3,2025987.6,89.88223909999999,Middle aquitard
5893573.3,2025987.6,53.36223909999998,400ft aquifer
5893573.3,2025987.6,-16.8777609,Deep aquitard
5890589.3,2027530.6,184.0061815,180ft aquifer
5890589.3,2027530.6,91.2861815,Middle aquitard
5890589.3,2027530.6,42.1261815,400ft aquifer
5779555.6,2153725.3,23.411788059999992,Salinas aquitard
5779555.6,2153725.3,-99.40821194000002,180ft aquifer
5779555.6,2153725.3,-164.72821194,Middle aquitard
5779555.6,2153725.3,-396.49821194000003,400ft aquifer
5808279.6,2135253.0,69.83528190000001,Salinas aquitard
5774884.1,2151113.3,-29.637677759999995,Salinas aquitard
5774884.1,2151113.3,-70.29767776,180ft aquifer
5774884.1,2151113.3,-262.29767776,Middle aquitard
5765268.0,2145381.3,12.735317589999998,Salinas aquitard
5765268.0,2145381.3,-78.28468241,180ft aquifer
5765268.0,2145381.3,-165.72468241,Middle aquitard
5765268.0,2145381.3,-283.41468241,400ft aquifer
5765268.0,2145381.3,-385.40468241,Deep aquitard
5838068.2,2084676.9,7.854265099999992,180ft aquifer
5838068.2,2084676.9,-119.1657349,Middle aquitard
5838068.2,2084676.9,-213.1857349,400ft aquifer
5838068.2,2084676.9,-319.45573490000004,Deep aquitard
5833297.7,2106534.5,181.5163758,180ft aquifer
5833297.7,2106534.5,140.70637579999996,Middle aquitard
5833297.7,2106534.5,-41.39362420000003,400ft aquifer
5833297.7,2106534.5,-265.8636242,Deep aquitard
5758779.0,2153588.8,-59.55970366,Salinas aquitard
5758779.0,2153588.8,-119.76970366,180ft aquifer
5758779.0,2153588.8,-218.02970366,Middle aquitard
5758779.0,2153588.8,-289.61970365999997,400ft aquifer
5758779.0,2153588.8,-480.69970365999995,Deep aquitard
5781924.1,2161724.3,96.57944959999999,Salinas aquitard
5781924.1,2161724.3,51.09944959999999,180ft aquifer
5781924.1,2161724.3,-61.5105504,Middle aquitard
5781924.1,2161724.3,-401.77055040000005,400ft aquifer
5846876.2,2080262.5,-204.0701029,Middle aquitard
5846876.2,2080262.5,-267.4901029,400ft aquifer
5846876.2,2080262.5,-575.1001028999999,Paso Robles
5793553.1,2118824.7,23.817277400000002,Salinas aquitard
5793553.1,2118824.7,-43.08272259999999,180ft aquifer
5793553.1,2118824.7,-156.4827226,Middle aquitard
5793553.1,2118824.7,-232.6827226,400ft aquifer
5793553.1,2118824.7,-296.55272260000004,Deep aquitard
5793553.1,2118824.7,-445.8227226,Paso Robles
5835732.4,2095476.5,147.62652179999998,Salinas aquitard
5835732.4,2095476.5,53.92652179999999,180ft aquifer
5765176.0,2149386.3,3.808251279999997,Salinas aquitard
5765176.0,2149386.3,-80.27174872,180ft aquifer
5765176.0,2149386.3,-184.83174872,Middle aquitard
5765176.0,2149386.3,-235.33174872,400ft aquifer
5765176.0,2149386.3,-397.79174872,Deep aquitard
5760557.5,2164394.3,-26.13575109,Salinas aquitard
5760557.5,2164394.3,-140.00575109000002,180ft aquifer
5760557.5,2164394.3,-219.99575109,Middle aquitard
5760557.5,2164394.3,-380.01575109,400ft aquifer
5760557.5,2164394.3,-540.0257510900001,Deep aquitard
5768765.0,2146329.8,-86.46360257,180ft aquifer
5768765.0,2146329.8,-248.19360257,Middle aquitard
5768765.0,2146329.8,-274.35360257,400ft aquifer
5768765.0,2146329.8,-470.20360257,Deep aquitard
5768338.0,2150397.6,-109.39479856,Salinas aquitard
5768338.0,2150397.6,-152.75479856,180ft aquifer
5768338.0,2150397.6,-294.64479856,Middle aquitard
5768338.0,2150397.6,-320.02479856,400ft aquifer
5762636.5,2148492.5,-37.921580420000005,Salinas aquitard
5762636.5,2148492.5,-97.37158042000002,180ft aquifer
5762636.5,2148492.5,-169.01158042,Middle aquitard
5762636.5,2148492.5,-196.77158042,400ft aquifer
5776000.6,2150840.1,-14.286565230000008,Salinas aquitard
5776000.6,2150840.1,-85.14656523,180ft aquifer
5776000.6,2150840.1,-225.01656523000003,Middle aquitard
5776000.6,2150840.1,-330.00656523,400ft aquifer
5787939.6,2120828.5,48.81472327,Salinas aquitard
5787939.6,2120828.5,-45.00527673,180ft aquifer
5787939.6,2120828.5,-220.01527672999998,Middle aquitard
5787939.6,2120828.5,-276.45527673,400ft aquifer
5787939.6,2120828.5,-324.24527673,Deep aquitard
5787939.6,2120828.5,-421.98527673,Paso Robles
5797952.6,2122610.2,-23.227166300000007,Salinas aquitard
5797952.6,2122610.2,-156.2371663,180ft aquifer
5797952.6,2122610.2,-199.4871663,Middle aquitard
5852750.7,2062549.4,103.8216989,180ft aquifer
5852750.7,2062549.4,42.82169889999999,Middle aquitard
5852750.7,2062549.4,11.441698899999977,400ft aquifer
5847990.7,2077085.2,75.62849259999999,180ft aquifer
5847990.7,2077085.2,-55.52150740000002,Middle aquitard
5847990.7,2077085.2,-114.29150740000003,400ft aquifer
5847990.7,2077085.2,-220.0615074,Deep aquitard
5847990.7,2077085.2,-537.0715074,Paso Robles
5775968.6,2164159.8,-55.31062175000001,180ft aquifer
5775968.6,2164159.8,-138.72062175000002,Middle aquitard
5775968.6,2164159.8,-254.42062175,400ft aquifer
5778802.1,2124317.3,-64.67174176,180ft aquifer
5778802.1,2124317.3,-171.47174176000001,Middle aquitard
5778802.1,2124317.3,-247.50174176,400ft aquifer
5778802.1,2124317.3,-279.25174175999996,Deep aquitard
5797869.1,2112522.2,41.85838873,Salinas aquitard
5797869.1,2112522.2,13.588388729999998,180ft aquifer
5797869.1,2112522.2,-123.49161126999999,Middle aquitard
5797869.1,2112522.2,-254.22161127,400ft aquifer
5797869.1,2112522.2,-470.0316112699999,Deep aquitard
