BoreholeID,IntervalTop_Depth,IntervalBase_Depth,HydrostratigraphicUnit
967,203.21,266.81,180ft aquifer
967,266.81,297.7,Middle aquitard
967,297.7, ---,400ft aquifer
967, ---,96.01,Shallow aquifer
975,108.57,190.27,Salinas aquitard
975,190.27, ---,180ft aquifer
975, ---,108.57,Shallow aquifer
989,108.73,201.52,180ft aquifer
989,201.52,241.19,Middle aquitard
989,241.19, ---,400ft aquifer
989, ---,108.73,Salinas aquitard
996,122.74,222.75,180ft aquifer
996,222.75,292.76,Middle aquitard
996,292.76, ---,400ft aquifer
996, ---,122.74,Salinas aquitard
1007,53.32,128.25,Salinas aquitard
1007,128.25,233.78,180ft aquifer
1007,233.78,299.65,Middle aquitard
1007,299.65, ---,400ft aquifer
1007, ---,53.32,Shallow aquifer
1020,68.61,99.71,Salinas aquitard
1020,99.71,124.71,180ft aquifer
1020,124.71,219.73,Middle aquitard
1020,219.73,339.71,400ft aquifer
1020,339.71, ---,Deep aquitard
1020, ---,68.61,Shallow aquifer
1022,126.8,195.7,Salinas aquitard
1022,195.7, ---,180ft aquifer
1022, ---,126.8,Shallow aquifer
1033,106.36,144.82,Salinas aquitard
1033,144.82,249.62,180ft aquifer
1033,249.62,413.24,Middle aquitard
1033,413.24, ---,400ft aquifer
1033, ---,106.36,Shallow aquifer
1046,101.34,170.05,Salinas aquitard
1046,170.05,275.08,180ft aquifer
1046,275.08,520.07,Middle aquitard
1046,520.07,584.92,400ft aquifer
1046,584.92, ---,Deep aquitard
1046, ---,101.34,Shallow aquifer
1051,106.17,125.27,Salinas aquitard
1051,125.27,257.79,180ft aquifer
1051,257.79, ---,Middle aquitard
1051, ---,106.17,Shallow aquifer
1060,50.91,119.36,Salinas aquitard
1060,119.36,226.31,180ft aquifer
1060,226.31,365.34,Middle aquitard
1060,365.34,529.36,400ft aquifer
1060,529.36, ---,Deep aquitard
1066,57.71,122.74,Salinas aquitard
1066,122.74, ---,180ft aquifer
1066, ---,57.71,Shallow aquifer
1084,11.49,43.74,Salinas aquitard
1084,43.74, ---,180ft aquifer
1084, ---,11.49,Shallow aquifer
1087,0,41.5,Shallow aquifer
1087,41.5,121.5,Salinas aquitard
1087,121.5,166.51,180ft aquifer
1087,166.51,276.52,Middle aquitard
1087,276.52, ---,400ft aquifer
1090,79.96,187.04,Salinas aquitard
1090,187.04,270.69,180ft aquifer
1090,270.69, ---,Middle aquitard
1090, ---,79.96,Shallow aquifer
1095,10.85,46.74,Shallow aquifer
1095,46.74,74.4,Salinas aquitard
1095,74.4,263.32,180ft aquifer
1095,263.32,303.26,Middle aquitard
1095,303.26,476.82,400ft aquifer
1095,476.82, ---,Deep aquitard
1096,49.1,151.65,Salinas aquitard
1096,151.65, ---,180ft aquifer
1096, ---,49.1,Shallow aquifer
1097,94.27,127.56,Salinas aquitard
1097,127.56,184.06,180ft aquifer
1097,184.06, ---,Middle aquitard
1097, ---,94.27,Shallow aquifer
1099,95.71,115.69,Salinas aquitard
1099,115.69,260.71,180ft aquifer
1099,260.71,375.71,Middle aquitard
1099,375.71, ---,400ft aquifer
1109,317.78,460.36,400ft aquifer
1109,460.36, ---,Deep aquitard
1109, ---,317.78,Middle aquitard
1123,100.78,159.97,Salinas aquitard
1123,159.97,186.88,180ft aquifer
1123,186.88,372.54,Middle aquitard
1123,372.54, ---,400ft aquifer
1123, ---,100.78,Shallow aquifer
1148,23,63.03,Shallow aquifer
1148,63.03,118.25,Salinas aquitard
1148,118.25,226.13,180ft aquifer
1148,226.13,316.12,Middle aquitard
1148,316.12,490.48,400ft aquifer
1148,490.48,628.39,Deep aquitard
1148,628.39, ---,Paso Robles
1157,32.74,152.76,Salinas aquitard
1157,152.76,203.95,180ft aquifer
1157,203.95,408.82,Middle aquitard
1157,408.82, ---,400ft aquifer
1162,75.53,132.16,Salinas aquitard
1162,132.16,189.12,180ft aquifer
1162,189.12,287.74,Middle aquitard
