BoreholeID,Easting,Northing,Elevation,TotalDepth,AlternateID
23996,5974503.4,1904945.6,706.7246937,200.00976,22S09E03L01
24008,5813767,2138072.3,139.4168991,500.0244,14S04E32G01
24034,5881877.1,2011609,353.9514438,660.032208,18S06E27P01
2404,5856160.6,2071050.4,271.635658,1040.050752,16S05E35N52
24046,5949380.5,1959841.4,381.5604006,340.016592,20S08E14F03
24047,5918401,1984420.6,304.5375643,250.0122,19S07E23N01
24051,5781742,2185233.5,136.9803346,200.00976,13S03E17L02
24066,5785723,2186459,0,399.0194712,13S03E16E02
24067,5833781.2,2108077,314.36495,720.035136,15S04E25Q02
2408,5753654,2135649.5,172.7413116,570.027816,15S02E04C01
24096,5784242.1,2179911,196.1179934,292.0142496,13S03E20J01
2410,5756248,2135812,166.8953338,490.023912,15S02E04A50
24126,5767704.1,2123564.8,196.6984544,500.0244,15S02E13E01
24163,5768308,2198896.6,426.3292654,690.033672,13S02E02A01
2419,5752909,2158613.8,16.93557083,636.0310368,14S02E09N02
2420,5854855.2,2065100.5,169.5583114,810.039528,17S05E03R50
2426,5775220.6,2125528.8,47.40950355,638.0311344,15S03E07Q50
2428,5788780.1,2112555.9,87.4935841,518.0252784,15S03E27E02
243,5773907.1,2162374.3,72.59418977,678.0330864,14S/02E-12H01
2437,5766457.5,2162329.6,51.69074769,822.0401136,14S/02E-11B01
24376,5793348.4,2130769.6,60.12046117,84.0040992,15S03E03R03
24377,5793348.4,2130769.6,60.12046117,69.0033672,15S03E03R04
24378,5793348.4,2130769.6,0,90.004392,15S03E03R05
24379,5776155.6,2131291.5,42.13659597,20.000976,15S03E06Q01
2438,5933794.9,1972549.1,342.7581458,296.0144448,20S08E05C02
24399,5785874.2,2191772.7,416.4603021,395.019276,13S03E09E01
24400,5766998.2,2198927.4,376.5641907,600.02928,13S02E02B01
24401,5783167.4,2189160.6,238.7164562,440.021472,13S03E08Q03
24496,5847118.1,2050760.2,381.7422062,1020.049776,17S05E21K01
24518,5763039.7,2197709.6,115.0422932,480.023424,13S02E03H02
24519,5796607.7,2153234.7,130.731987,500.0244,14S03E14L02
24520,5775992.1,2127207.5,44.38628597,650.03172,15S03E07K01
24524,5817574.4,2084894.8,119.6441907,270.013176,16S04E21G01
24525,5818839.1,2082207.7,221.9407354,508.0247904,16S04E21R01
24542,6012481.9,1900187.7,652.677214,200.00976,22S10E11G01
24565,5888224.8,2045807.5,272.5186408,450.02196,17S06E26D02
24586,5766846,2192273.4,163.9637859,440.021472,13S02E11G04
24587,5947999.7,1958545.2,329.7132108,160.007808,20S08E14M01
24588,5801507,2127338.2,66.91092003,930.045384,15S03E12F03
24589,5800543.4,2123971.2,69.85537065,930.045384,15S03E13D01
246,5914209.8,1995044.9,317.6403776,244.0119072,19S07E10P02
24644,5821509.1,2083473.8,101.513239,580.028304,16S04E22L05
24645,5812411.1,2091688,122.3359037,115.005612,16S04E17B01
24646,5758964.3,2142459.6,30.50470979,710.034648,14S02E27P04
24674,5941134.7,1954721.6,300.5720362,125.0061,20S08E21H01
24675,5941134.7,1954721.6,300.5720362,125.0061,20S08E21H02
2478,5849993.7,2071739.9,150.6464733,630.030744,16S05E34M50
24794,5778645.9,2168242,104.9770998,760.037088,13S03E31R01
24814,5796111.2,2183574.2,399.0815166,30.001464,13S03E14N01
24833,5761831.6,2147684.9,26.02903328,672.0327936,14S02E22R01
24835,5804583.3,2102279,0,460.022448,16S04E06D02
2485,5841188.7,2096940.7,252.3081579,640.031232,16S05E05N50
2487,5853525.7,2077634.3,269.9967316,1120.054656,16S05E27L51
24995,5992939.8,1905847.1,385.2086514,130.006344,22S10E06H01
24996,5789162.5,2157474.1,132.9657193,700.03416,14S03E09R01
24999,5989149.6,1912573.4,379.7939358,160.007808,21S10E31D01
25033,5921671.3,1992844.9,261.3606931,200.00976,19S07E14H01
25054,5816948.3,2108433.4,110.5984837,822.0401136,15S04E28P02
25073,5861322.1,2044736.6,161.5659817,290.014152,17S05E25L03
2518,5861177.7,2066021.6,267.8583852,900.04392,17S05E01M50
2520,5845110.2,2082871.3,166.7826111,870.042456,16S05E20J50
25314,5770934.2,2190793,173.0302067,400.01952,13S02E12L03
25318,5835031.2,2102909.8,302.1756946,760.037088,15S04E36R04
25336,5760063.7,2180522.5,52.49079961,610.029768,13S02E22L01
2534,5862743.2,2066267.4,281.4912309,860.041968,17S05E01L50
25354,5829036.5,2110165.6,251.9054543,670.032696,15S04E26H01
2537,5862581.9,2050968.5,171.1327887,287.0140056,17S05E24G50
25373,5804293.5,2141009.9,148.4955604,812.0396256,14S03E25R01
2540,5895406.8,2026915.7,222.776041,231.0112728,18S06E12R01
25413,5828403.5,2105606.8,227.6626906,900.04392,15S04E35G01
25415,6009483.7,1879133.6,544.6179499,547.0266936,22S10E35E01
25434,5903297.3,2013837.4,262.0908439,250.0122,18S07E29D02
